Término,Patrón N+ADJ,Estado,Noun en Glosario,Adj en Glosario,Contexto
análisis,análisis correlacional,Parcialmente encontrado,Sí,No," La definición de los grupos profesionales se ajustará a criterios y sistemas que, basados en un [análisis] correlacional entre sesgos de género, puestos de trabajo, criterios de encuadramiento y retribuciones, tengan como objeto garantizar la ausencia de discriminación, tanto directa como indirecta, entre mujeres y hombres"
ausencia,N/A,No encontrado,No,No,"
AUSENCIA: un análisis correlacional entre sesgos de género, puestos de trabajo, criterios de encuadramiento y retribuciones, tengan como objeto garantizar la [ausencia] de discriminación, tanto directa como indirecta, entre mujeres y hombres"
discriminación,N/A,No encontrado,No,No,"
DISCRIMINACIÓN: correlacional entre sesgos de género, puestos de trabajo, criterios de encuadramiento y retribuciones, tengan como objeto garantizar la ausencia de [discriminación] , tanto directa como indirecta, entre mujeres y hombres"
empresario,N/A,No encontrado,No,No, Por acuerdo entre el trabajador y el [empresario] se asignará al trabajador un grupo profesional y se establecerá como contenido de la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas
defecto,N/A,No encontrado,No,No," Mediante la negociación colectiva o, en su [defecto] , acuerdo entre la empresa y los representantes de los trabajadores, se establecerá el sistema de clasificación profesional de los trabajadores por medio de grupos profesionales"
prestación,N/A,No encontrado,No,No," Se entenderá por grupo profesional el que agrupe unitariamente las aptitudes profesionales, titulaciones y contenido general de la [prestación] , y podrá incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al trabajador"
prestación,N/A,No encontrado,No,No,"
PRESTACIÓN: entre el trabajador y el empresario se asignará al trabajador un grupo profesional y se establecerá como contenido de la [prestación] laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas"
negociación colectiva,N/A,No encontrado,No,No," Mediante la [negociación colectiva] o, en su defecto, acuerdo entre la empresa y los representantes de los trabajadores, se establecerá el sistema de clasificación profesional de los trabajadores por medio de grupos profesionales"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: grupos profesionales se ajustará a criterios y sistemas que, basados en un análisis correlacional entre sesgos de género, puestos de [trabajo] , criterios de encuadramiento y retribuciones, tengan como objeto garantizar la ausencia de discriminación, tanto directa como indirecta, entre mujeres y hombres"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: se asignará al trabajador un grupo profesional y se establecerá como contenido de la prestación laboral objeto del contrato de [trabajo] la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas"
contrato,N/A,No encontrado,No,No,"
CONTRATO: el empresario se asignará al trabajador un grupo profesional y se establecerá como contenido de la prestación laboral objeto del [contrato] de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas"
contenido,contenido general,No encontrado,No,No," Se entenderá por grupo profesional el que agrupe unitariamente las aptitudes profesionales, titulaciones y [contenido] general de la prestación, y podrá incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al trabajador"
contenido,N/A,No encontrado,No,No, Por acuerdo entre el trabajador y el empresario se asignará al trabajador un grupo profesional y se establecerá como [contenido] de la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas
empresa,N/A,No encontrado,No,No," Mediante la negociación colectiva o, en su defecto, acuerdo entre la [empresa] y los representantes de los trabajadores, se establecerá el sistema de clasificación profesional de los trabajadores por medio de grupos profesionales"
contrato de trabajo,N/A,No encontrado,No,No,"
CONTRATO DE TRABAJO: el empresario se asignará al trabajador un grupo profesional y se establecerá como contenido de la prestación laboral objeto del [contrato de trabajo] la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas"
grupo profesional,N/A,No encontrado,No,No," Se entenderá por [grupo profesional] el que agrupe unitariamente las aptitudes profesionales, titulaciones y contenido general de la prestación, y podrá incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al trabajador"
grupo profesional,N/A,No encontrado,No,No, Por acuerdo entre el trabajador y el empresario se asignará al trabajador un [grupo profesional] y se establecerá como contenido de la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas
grupo profesional,N/A,No encontrado,No,No,"
GRUPO PROFESIONAL: establecerá como contenido de la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al [grupo profesional] asignado o solamente de alguna de ellas"
objeto del contrato,N/A,No encontrado,No,No,"
OBJETO DEL CONTRATO: trabajador y el empresario se asignará al trabajador un grupo profesional y se establecerá como contenido de la prestación laboral [objeto del contrato] de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas"
sistema de clasificación profesional,N/A,No encontrado,No,No, [sistema de clasificación profesional] 
sistema de clasificación profesional,N/A,No encontrado,No,No,"
SISTEMA DE CLASIFICACIÓN PROFESIONAL: la negociación colectiva o, en su defecto, acuerdo entre la empresa y los representantes de los trabajadores, se establecerá el [sistema de clasificación profesional] de los trabajadores por medio de grupos profesionales"
trabajador,N/A,No encontrado,No,No,"
TRABAJADOR: profesionales, titulaciones y contenido general de la prestación, y podrá incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al [trabajador] "
trabajador,N/A,No encontrado,No,No, Por acuerdo entre el [trabajador] y el empresario se asignará al trabajador un grupo profesional y se establecerá como contenido de la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas
trabajador,N/A,No encontrado,No,No, Por acuerdo entre el trabajador y el empresario se asignará al [trabajador] un grupo profesional y se establecerá como contenido de la prestación laboral objeto del contrato de trabajo la realización de todas las funciones correspondientes al grupo profesional asignado o solamente de alguna de ellas
